display,fracttal_codebase,fracttal_nome,athon_sunop,axis,api_pv,thopen_pg,dois_c_owen,fontes
Inhapi 3 (578),INP100,Thopen - Inhapi 1 - AL,,,Inhapi 3 (578),,,pv
(308) Ipixuna 1,IPX100,Thopen - Ipixuna 1 e 2 - PA,,,,(308) Ipixuna 1,,pg
Ipixuna do Pará,IPX100,2C - Ipixuna do Pará 1 - PA,,,,,IPX,owen
JCD100,JCD100,Athon - Jacundá 1 - PA,JCD100,,,,,sunop
Junco 1 (46),JNC100,Thopen - Junco 1 - PI,,,Junco 1 (46),,,pv
Junco 2.1 (134),JNC100,Thopen - Junco 1 - PI,,,Junco 2.1 (134),,,pv
Junco 2.2 (135),JNC100,Thopen - Junco 1 - PI,,,Junco 2.2 (135),,,pv
Junco 2.3 (136),JNC100,Thopen - Junco 1 - PI,,,Junco 2.3 (136),,,pv
MAB100,MAB100,Athon - Marabá 1 - PA,MAB100,,,,,sunop
MAB200,MAB200,Athon - Marabá 2 - PA,MAB200,,,,,sunop
Mandaguaçu 1 (140),MNG100,Thopen - Mandaguaçu 1 - PR,,,Mandaguaçu 1 (140),,,pv
Mandaguaçu 2 (141),MNG100,Thopen - Mandaguaçu 1 - PR,,,Mandaguaçu 2 (141),,,pv
Mandaguaçu 3 (142),MNG100,Thopen - Mandaguaçu 1 - PR,,,Mandaguaçu 3 (142),,,pv
Mandaguaçu 4 (143),MNG100,Thopen - Mandaguaçu 1 - PR,,,Mandaguaçu 4 (143),,,pv
(321) Marajoara I,MRJ100,Thopen - Marajoara 1 - SP,,,,(321) Marajoara I,,pg
Matão 1,MTO100,Thopen - Matão 1 - SP,,,Matão 1 (145),,,pv
Matão 2,TPZ100,Thopen - Topázio (Matão 2) - SP,,,Matão II - Topazio (146),,,pv
MRO100,MRO100,Athon - Mãe do Rio 1 - PA,MRO100,,,,,sunop
MTS100,MTS100,Athon - Matões 1 - MA,MTS100,,,,,sunop
Nova Londrina 1 (152),NVL100,Thopen - Nova Londrina 1 - PR,,,Nova Londrina 1 (152),,,pv
Nova Londrina 2 (153),NVL100,Thopen - Nova Londrina 1 - PR,,,Nova Londrina 2 (153),,,pv
Paranavaí,PRV100,Thopen - Paranavaí 1 - PR,,,Paranavaí (78),,,pv
(309) Piracicaba I,PRB100,Thopen - Piracicaba 1 - SP,,,,(309) Piracicaba I,,pg
Poconé 1,PCN100,Thopen - Poconé 1 - MT,,,Poconé (158),,,pv
Primavera 1,PRM100,Thopen - Primavera 1 - ES,,,Primavera 1 (115),,,pv
Primavera 2,PRM200,Thopen - Primavera 2 - ES,,,Primavera 2 (116),,,pv
(310) Salto Pirapora III,SPP300,Thopen - Salto Pirapora 3 - SP,,,,(310) Salto Pirapora III,,pg
(311) Santa Bárbara I,STB100,Thopen - Santa Bárbara 1 - SP,,,,(311) Santa Bárbara I,,pg
(317) Santarém 1,STR100,Thopen - Santarém 1 e 2 - PA,,,,(317) Santarém 1,,pg
(318) Santarém 2,STR100,Thopen - Santarém 1 e 2 - PA,,,,(318) Santarém 2,,pg
Santo Antônio da Platina 1,,,,,Santo Antônio da Platina 1,,,pv
Santo Antônio da Platina 2,,,,,Santo Antônio da Platina 2,,,pv
(327) Santo Inácio XII,,Thopen - Santo Inácio 1 e 2 - SP,,,,(327) Santo Inácio XII,,pg
São Bento do Una,SBU100,Thopen - São Bento do Una 1 - PE,,,São Bento do Una,,,pv
Sarandi 1,,,,,Sarandi 1,,,pv
Sarandi 2,,,,,Sarandi 2,,,pv
Saturnino 1,,Thopen - Saturnino 1 - RJ,,,Saturnino (166),,,pv
Sete Lagoas,SLG200,2C - Sete Lagoas 2 - MG,,,,,STL,owen
Sitio dos Nogueiras 1 (35),SDN100,Thopen - Sítio dos Nogueiras 1 - GO,,,Sitio dos Nogueiras 1 (35),,,pv
Sitio dos Nogueiras 2 (36),SDN100,Thopen - Sítio dos Nogueiras 1 - GO,,,Sitio dos Nogueiras 2 (36),,,pv
Sitio dos Nogueiras 3 (37),SDN100,Thopen - Sítio dos Nogueiras 1 - GO,,,Sitio dos Nogueiras 3 (37),,,pv
Sitio dos Nogueiras 4 (38),SDN100,Thopen - Sítio dos Nogueiras 1 - GO,,,Sitio dos Nogueiras 4 (38),,,pv
SMP100,SMP100,Athon - Santa Maria do Pará 1 - PA,SMP100,,,,,sunop
Tanabi 1 (175),TNB100,Thopen - Tanabi 1 - SP,,,Tanabi 1 (175),,,pv
Tanabi 2 (176),TNB100,Thopen - Tanabi 1 - SP,,,Tanabi 2 (176),,,pv
TIM100,TIM100,Athon -  Timon 1 - MA,TIM100,,,,,sunop
TIM200,TIM200,Athon -  Timon 2 - MA,TIM200,,,,,sunop
Tupi Paulista,TPP100,2C - Tupi Paulista 1 e 2 - SP,,,,,TUP,owen
Vertentes,VRT200,Thopen - Vertentes 2 - PE,,,Vertentes (590),,,pv
